Cluster,elektriciteitsverbruik_huishoudens,gasverbruik_huishoudens,energielabel_woningen,zonnestroom,laadpalen,emissie_CO2,Lon,Lat
1,2450,1120,1.89116521658142,0.292957746478873,3.33333333333333,3514.01740940155,5.14327529019087,51.5926838584799
2,2100,750,1.9,6.35208711433757e-02,4.18859649122807,2417.62426710098,5.06349826967424,51.5858011995132
3,2250,705,1.69538255522673,0.177065077198989,5.32616238723109,1950.3852398524,5.09908170414621,51.5898545736775
4,2860,,1.26581679741579,0.24629497158871,3.57142857142857,534.4691369606,4.99054563504029,51.5855507690245
5,2470,1060,1.83211883408072,0.105095541401274,7.92079207920792,2936.56359007214,5.10414076585731,51.5456040094231
6,2285,1135,1.90689220277165,0.108584805582984,8.27625570776256,2710.07166617059,5.05851849741347,51.5459763266863
7,2290,940,1.83244701935413,7.32031575557829e-02,6.55913978494624,1744.55628891656,5.08217041623292,51.5643142805744
8,2910,1870,1.57984822934233,0.430041152263374,22.2358722358722,31510.3066210889,5.00332645516678,51.5619469389221
9,2320,580,1.64213559749495,0.172360248447205,5.69105691056911,2659.18472222222,5.02640284377369,51.5817969030913
10,2755,1330,2.13611582836233,0.144654088050314,10,5694.72564102564,5.10914091384503,51.5641142662053
